index,cwe_sampled,ground_truth,roberta_label,roberta_confidence,codellama_agreement,deepseek_agreement,codellama_verdict,deepseek_verdict,llm_agreement,gemini_judge_verdict,final_verdict,correct,remediation_provided,latency_s,error
74,NONE,non-vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,100.46,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
75,NONE,non-vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,68.73,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
76,NO_CWE,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,93.0,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
77,CWE-401,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,45.44,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
78,CWE-125,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,103.39,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
79,CWE-476,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,95.18,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
80,NONE,non-vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,42.22,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
81,CWE-190,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,49.25,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
82,NO_CWE,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,74.11,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
83,NONE,non-vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,87.67,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
84,CWE-20,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,68.75,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
85,NONE,non-vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,87.75,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
86,CWE-399,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,54.62,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
87,CWE-190,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,112.85,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
88,CWE-703,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,96.65,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
89,CWE-415,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,38.84,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
90,CWE-476,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,106.73,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
91,CWE-362,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,102.89,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
92,CWE-787,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,64.48,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
93,CWE-401,vulnerable,non-vulnerable,0.5808,agrees,agrees,non-vulnerable,non-vulnerable,True,,non-vulnerable,False,True,89.36,
94,CWE-125,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,106.25,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
95,CWE-703,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,95.94,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
96,CWE-200,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,66.82,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
97,NONE,non-vulnerable,non-vulnerable,0.5808,agrees,agrees,non-vulnerable,non-vulnerable,True,,non-vulnerable,True,False,23.66,
98,CWE-190,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,75.08,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
99,NONE,non-vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,41.57,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
